65.14	67.74
70.35	72.95
75.56	78.16
80.77	83.37
85.98	88.59
91.19	93.80
96.40	99.01
101.61	104.22
106.82	114.64
119.85	135.48
143.30	148.51
151.11	153.72
156.32	158.93
161.53	164.14
166.74	169.35
171.96	174.56
177.17	179.77
182.38	184.98
187.59	190.19
192.80	195.40
198.01	200.61
203.22	205.82
208.43	211.04
213.64	216.25
218.85	221.46
224.06	226.67
427.28	432.49
435.09	440.30
442.91	445.51
448.12	450.72
453.33	455.94
476.78	479.38
489.80	492.41
495.01	497.62
502.83	510.65
513.25	515.86
518.46	521.07
